DATETIME	TEMPERATURE	HUMIDITY
1/1/2015 0:00	19	75
1/1/2015 1:00	19	77
1/1/2015 2:00	19	78
1/1/2015 3:00	19	80
1/1/2015 4:00	19	81
1/1/2015 5:00	20	83
1/1/2015 6:00	20	84
1/1/2015 7:00	20	82
1/1/2015 8:00	21	80
1/1/2015 9:00	22	78
1/1/2015 10:00	22	77
1/1/2015 11:00	22	76
1/1/2015 12:00	23	74
1/1/2015 13:00	22	78
1/1/2015 14:00	21	83
1/1/2015 15:00	20	87
1/1/2015 16:00	20	88
1/1/2015 17:00	20	90
1/1/2015 18:00	20	91
1/1/2015 19:00	20	91
1/1/2015 20:00	20	91
1/1/2015 21:00	20	91
1/1/2015 22:00	20	91
1/1/2015 23:00	20	91
1/2/2015 0:00	20	91
1/2/2015 1:00	19	91
1/2/2015 2:00	19	91
1/2/2015 3:00	19	92
1/2/2015 4:00	19	88
1/2/2015 5:00	20	84
1/2/2015 6:00	21	81
1/2/2015 7:00	23	74
1/2/2015 8:00	24	68
1/2/2015 9:00	26	61
1/2/2015 10:00	27	60
1/2/2015 11:00	27	59
1/2/2015 12:00	28	58
1/2/2015 13:00	27	63
1/2/2015 14:00	26	67
1/2/2015 15:00	24	72
1/2/2015 16:00	24	73
1/2/2015 17:00	24	74
1/2/2015 18:00	24	76
1/2/2015 19:00	23	78
1/2/2015 20:00	23	80
1/2/2015 21:00	22	82
1/2/2015 22:00	22	83
1/2/2015 23:00	22	83
1/3/2015 0:00	22	84
1/3/2015 1:00	21	86
1/3/2015 2:00	21	88
1/3/2015 3:00	21	90
1/3/2015 4:00	22	85
1/3/2015 5:00	23	80
1/3/2015 6:00	24	75
1/3/2015 7:00	25	70
1/3/2015 8:00	27	65
1/3/2015 9:00	28	60
1/3/2015 10:00	28	61
1/3/2015 11:00	28	61
1/3/2015 12:00	28	62
1/3/2015 13:00	27	66
1/3/2015 14:00	26	70
1/3/2015 15:00	25	75
1/3/2015 16:00	25	77
1/3/2015 17:00	25	79
